SampleName	HET	HOM	Farm	Strain	Stage	Sex
CHLY1F176835Cyclone	35093	18064	CH	LY	Stage1	F
CHLY1F178059Cyclone	37298	17842	CH	LY	Stage1	F
CHLY1F177039Cyclone	35425	18297	CH	LY	Stage1	F
CHLY1F178671Cyclone	34804	18116	CH	LY	Stage1	F
CHLY1F280099Cyclone	35458	18256	CH	LY	Stage1	F
CHLY1F176223Cyclone	34032	18205	CH	LY	Stage1	F
CHLY1F176427Cyclone	35159	17654	CH	LY	Stage1	F
CHLY1F280611Cyclone	36091	17775	CH	LY	Stage1	F
CHLY1F280407Cyclone	35759	17961	CH	LY	Stage1	F
CHLY1F179079Cyclone	35641	17359	CH	LY	Stage1	F
CHLY1F175203Cyclone	34976	17972	CH	LY	Stage1	F
CHLY1F178263Cyclone	36254	17781	CH	LY	Stage1	F
CHLY1F178875Cyclone	34660	17848	CH	LY	Stage1	F
CHLY1F175611Cyclone	35144	18198	CH	LY	Stage1	F
CHLY1F175407Cyclone	35417	18009	CH	LY	Stage1	F
CHLY1F179895Cyclone	35213	18372	CH	LY	Stage1	F
CHLY1F177243Cyclone	36128	17605	CH	LY	Stage1	F
CHLY1F281019Cyclone	34508	17996	CH	LY	Stage1	F
CHLY1F280203Cyclone	33830	18404	CH	LY	Stage1	F
CHLY1F179487Cyclone	36063	18054	CH	LY	Stage1	F
CHLY1F281631Cyclone	33216	18119	CH	LY	Stage1	F
CHLY1F281223Cyclone	36043	17934	CH	LY	Stage1	F
CHLY1F282039Cyclone	34890	17617	CH	LY	Stage1	F
CHLY1M175509Cyclone	34408	18352	CH	LY	Stage1	M
CHLY1F282243Cyclone	35303	18594	CH	LY	Stage1	F
CHLY1F282447Cyclone	33089	18751	CH	LY	Stage1	F
CHLY1M176733Cyclone	33880	18798	CH	LY	Stage1	M
CHLY1M176529Cyclone	35487	17876	CH	LY	Stage1	M
CHLY1M175917Cyclone	34477	18616	CH	LY	Stage1	M
CHLY1F281835Cyclone	34969	17579	CH	LY	Stage1	F
CHLY1F282651Cyclone	35263	17726	CH	LY	Stage1	F
CHLY1M177345Cyclone	33849	18206	CH	LY	Stage1	M
CHLY1M175713Cyclone	34303	17837	CH	LY	Stage1	M
CHLY1M175305Cyclone	35805	18657	CH	LY	Stage1	M
CHLY1M178365Cyclone	34607	18794	CH	LY	Stage1	M
CHLY1M177753Cyclone	33667	18416	CH	LY	Stage1	M
CHLY1M177549Cyclone	34382	18229	CH	LY	Stage1	M
CHLY1M178569Cyclone	34514	18657	CH	LY	Stage1	M
CHLY1M177957Cyclone	34250	18632	CH	LY	Stage1	M
CHLY1M178773Cyclone	34318	18818	CH	LY	Stage1	M
