SampleName	HET	HOM	Farm	Strain	Stage	Sex
CHLY1F175203Cyclone	32305	13707	CH	LY	Stage1	F
CHLY1F177243Cyclone	31301	13233	CH	LY	Stage1	F
CHLY1F176223Cyclone	31148	13897	CH	LY	Stage1	F
CHLY1F178059Cyclone	31954	13512	CH	LY	Stage1	F
CHLY1F176427Cyclone	32493	13355	CH	LY	Stage1	F
CHLY1F178671Cyclone	31995	13862	CH	LY	Stage1	F
CHLY1F175611Cyclone	32391	13952	CH	LY	Stage1	F
CHLY1F175407Cyclone	33344	13731	CH	LY	Stage1	F
CHLY1F179895Cyclone	32589	14054	CH	LY	Stage1	F
CHLY1F176835Cyclone	32739	13728	CH	LY	Stage1	F
CHLY1F177039Cyclone	32619	14004	CH	LY	Stage1	F
CHLY1F178263Cyclone	33874	13511	CH	LY	Stage1	F
CHLY1F178875Cyclone	32061	13639	CH	LY	Stage1	F
CHLY1F179079Cyclone	32596	13108	CH	LY	Stage1	F
CHLY1F179487Cyclone	33045	13876	CH	LY	Stage1	F
CHLY1F280099Cyclone	32389	14002	CH	LY	Stage1	F
CHLY1F280203Cyclone	30658	14095	CH	LY	Stage1	F
CHLY1F280407Cyclone	32492	13724	CH	LY	Stage1	F
CHLY1F280611Cyclone	31828	13585	CH	LY	Stage1	F
CHLY1F281019Cyclone	31943	13676	CH	LY	Stage1	F
CHLY1F282243Cyclone	31663	14260	CH	LY	Stage1	F
CHLY1M175305Cyclone	32599	14354	CH	LY	Stage1	M
CHLY1F282447Cyclone	29939	14407	CH	LY	Stage1	F
CHLY1F281223Cyclone	32063	13724	CH	LY	Stage1	F
CHLY1F281631Cyclone	30069	13758	CH	LY	Stage1	F
CHLY1F281835Cyclone	31525	13278	CH	LY	Stage1	F
CHLY1F282651Cyclone	31199	13326	CH	LY	Stage1	F
CHLY1F282039Cyclone	32154	13310	CH	LY	Stage1	F
CHLY1M176529Cyclone	32938	13594	CH	LY	Stage1	M
CHLY1M175509Cyclone	31361	14032	CH	LY	Stage1	M
CHLY1M175713Cyclone	30902	13512	CH	LY	Stage1	M
CHLY1M175917Cyclone	31425	14302	CH	LY	Stage1	M
CHLY1M176733Cyclone	30358	14484	CH	LY	Stage1	M
CHLY1M177345Cyclone	31146	13890	CH	LY	Stage1	M
CHLY1M177549Cyclone	31740	13925	CH	LY	Stage1	M
CHLY1M177753Cyclone	30427	14134	CH	LY	Stage1	M
CHLY1M177957Cyclone	31533	14333	CH	LY	Stage1	M
CHLY1M178365Cyclone	31734	14459	CH	LY	Stage1	M
CHLY1M178569Cyclone	32059	14283	CH	LY	Stage1	M
CHLY1M178773Cyclone	30679	14492	CH	LY	Stage1	M
CHLY1M280101Cyclone	31614	13883	CH	LY	Stage1	M
CHLY1M179793Cyclone	29681	15249	CH	LY	Stage1	M
CHLY1M179589Cyclone	32813	13234	CH	LY	Stage1	M
CHLY1M179997Cyclone	30604	14006	CH	LY	Stage1	M
CHLY1M178977Cyclone	32244	13882	CH	LY	Stage1	M
CHLY1M280509Cyclone	31176	13797	CH	LY	Stage1	M
CHLY1M179385Cyclone	31483	14051	CH	LY	Stage1	M
CHLY1M179181Cyclone	31896	13585	CH	LY	Stage1	M
CHLY1M281121Cyclone	32411	14189	CH	LY	Stage1	M
CHLY1M280917Cyclone	31669	13912	CH	LY	Stage1	M
CHLY1M281325Cyclone	31827	14009	CH	LY	Stage1	M
CHLY1M281529Cyclone	31080	13769	CH	LY	Stage1	M
CHLY1M281937Cyclone	32396	14153	CH	LY	Stage1	M
CHLY1M282141Cyclone	30529	14421	CH	LY	Stage1	M
CHLY1M282345Cyclone	32547	14045	CH	LY	Stage1	M
CHLY1M282549Cyclone	30392	14437	CH	LY	Stage1	M
CHLY1M282957Cyclone	29824	14062	CH	LY	Stage1	M
CHLY1M283161Cyclone	31500	14068	CH	LY	Stage1	M
CHLY1M283365Cyclone	31097	14274	CH	LY	Stage1	M
CHLY2F385611Cyclone	32919	13292	CH	LY	Stage2	F
CHLY2F386835Cyclone	29655	13599	CH	LY	Stage2	F
CHLY2F386223Cyclone	33022	13201	CH	LY	Stage2	F
CHLY2F386019Cyclone	31226	13305	CH	LY	Stage2	F
CHLY2F386427Cyclone	32248	13488	CH	LY	Stage2	F
CHLY2F387651Cyclone	32899	13433	CH	LY	Stage2	F
CHLY2F386631Cyclone	32154	13154	CH	LY	Stage2	F
CHLY2F387855Cyclone	32305	13456	CH	LY	Stage2	F
CHLY2F388059Cyclone	32784	13162	CH	LY	Stage2	F
CHLY2F388263Cyclone	31908	13928	CH	LY	Stage2	F
CHLY2F388671Cyclone	29779	14490	CH	LY	Stage2	F
CHLY2F388467Cyclone	32273	13302	CH	LY	Stage2	F
CHLY2F489487Cyclone	30251	13702	CH	LY	Stage2	F
CHLY2F389079Cyclone	32486	13557	CH	LY	Stage2	F
