SampleName	HET	HOM	Farm	Strain	Stage	Sex
CHLY1F179895	6122744	2445677	CH	LY	Stage1	F
CHLY1F179079	5990709	2455190	CH	LY	Stage1	F
CHLY1M280509	6033635	2362711	CH	LY	Stage1	M
CHLY1M175305	6113716	2464189	CH	LY	Stage1	M
CHLY1M177549	6110137	2364352	CH	LY	Stage1	M
CHLY1F179487	6064954	2435867	CH	LY	Stage1	F
CHLY1M179793	5572685	2647497	CH	LY	Stage1	M
CHLY1F175611	6105947	2448232	CH	LY	Stage1	F
CHLY1M280917	5958893	2357007	CH	LY	Stage1	M
CHLY1M179997	5784500	2419993	CH	LY	Stage1	M
CHLY1F175203	5977439	2379024	CH	LY	Stage1	F
CHLY1F178059	5998041	2384219	CH	LY	Stage1	F
CHLY1M178365	6040221	2466881	CH	LY	Stage1	M
CHLY1F178671	5988868	2404940	CH	LY	Stage1	F
CHLY1M179589	6364127	2210527	CH	LY	Stage1	M
CHLY1M177753	5923008	2380230	CH	LY	Stage1	M
CHLY1M178977	6126169	2374527	CH	LY	Stage1	M
CHLY1M176733	5910763	2446531	CH	LY	Stage1	M
CHLY1F282447	5699190	2518355	CH	LY	Stage1	F
CHLY1M175917	6181664	2456038	CH	LY	Stage1	M
CHLY1F280611	5955709	2369456	CH	LY	Stage1	F
CHLY1F175407	6183646	2355402	CH	LY	Stage1	F
CHLY1F176223	6009391	2433697	CH	LY	Stage1	F
CHLY1M176529	6231440	2280434	CH	LY	Stage1	M
CHLY1F176427	6074585	2302064	CH	LY	Stage1	F
CHLY1F280407	5983342	2417566	CH	LY	Stage1	F
CHLY1F282651	6009046	2359288	CH	LY	Stage1	F
CHLY1M177957	6044196	2417313	CH	LY	Stage1	M
CHLY1F176835	6151878	2392236	CH	LY	Stage1	F
CHLY1F177039	6024560	2462548	CH	LY	Stage1	F
CHLY1M178773	6002620	2448894	CH	LY	Stage1	M
CHLY1M177345	5964234	2335831	CH	LY	Stage1	M
CHLY1F282039	6064061	2305611	CH	LY	Stage1	F
CHLY1F281631	6025521	2347934	CH	LY	Stage1	F
CHLY1M280101	6094069	2340040	CH	LY	Stage1	M
CHLY1M175713	6108414	2246694	CH	LY	Stage1	M
CHLY1M175509	6058513	2367612	CH	LY	Stage1	M
CHLY1F178263	6197953	2320733	CH	LY	Stage1	F
CHLY1F178875	5856124	2436837	CH	LY	Stage1	F
CHLY1M179181	6144653	2285193	CH	LY	Stage1	M
CHLY1F280099	6041986	2417090	CH	LY	Stage1	F
CHLY1M281121	6250169	2338499	CH	LY	Stage1	M
CHLY1F177243	6104759	2348648	CH	LY	Stage1	F
CHLY1M179385	6141334	2375726	CH	LY	Stage1	M
CHLY1F280203	5876408	2461465	CH	LY	Stage1	F
CHLY1F281223	5965188	2432379	CH	LY	Stage1	F
CHLY1M178569	6243376	2421962	CH	LY	Stage1	M
CHLY1F281019	6050822	2358695	CH	LY	Stage1	F
CHLY1F281835	6045424	2307060	CH	LY	Stage1	F
CHLY1F282243	5935243	2518824	CH	LY	Stage1	F
CHLY1M282141	5921273	2476708	CH	LY	Stage1	M
CHLY1M282345	6024441	2401714	CH	LY	Stage1	M
CHLY2F387855	6050267	2366413	CH	LY	Stage2	F
CHLY2F388263	5996287	2470849	CH	LY	Stage2	F
CHLY1M281325	5947738	2371647	CH	LY	Stage1	M
CHLY2F386019	5977865	2357242	CH	LY	Stage2	F
CHLY1M282549	5969098	2510462	CH	LY	Stage1	M
CHLY1M281937	6148965	2390518	CH	LY	Stage1	M
CHLY1M282957	5870129	2388783	CH	LY	Stage1	M
CHLY2F386835	5954393	2417573	CH	LY	Stage2	F
CHLY1M281529	6158805	2377397	CH	LY	Stage1	M
CHLY2F491631	5876738	2510377	CH	LY	Stage2	F
CHLY1M283365	6040794	2419362	CH	LY	Stage1	M
CHLY2F490407	6293932	2396345	CH	LY	Stage2	F
CHLY1M283161	6011096	2429806	CH	LY	Stage1	M
CHLY2F490611	5985268	2396926	CH	LY	Stage2	F
CHLY2F388059	6060919	2317400	CH	LY	Stage2	F
CHLY2F385611	6127245	2333975	CH	LY	Stage2	F
CHLY2F492651	6016963	2384167	CH	LY	Stage2	F
CHLY2F386223	6041994	2336600	CH	LY	Stage2	F
CHLY2F386631	6243859	2288410	CH	LY	Stage2	F
CHLY2F492039	6115131	2405225	CH	LY	Stage2	F
CHLY2F386427	6012412	2364299	CH	LY	Stage2	F
CHLY2F492855	5802854	2316126	CH	LY	Stage2	F
CHLY2F388467	6146762	2315451	CH	LY	Stage2	F
CHLY2F389079	5965504	2434212	CH	LY	Stage2	F
CHLY2F387651	6059141	2350654	CH	LY	Stage2	F
CHLY2F493263	6078695	2330061	CH	LY	Stage2	F
CHLY2F388671	5629511	2568456	CH	LY	Stage2	F
CHLY2F389283	6168740	2349148	CH	LY	Stage2	F
CHLY2F489487	5716134	2420596	CH	LY	Stage2	F
CHLY2F490203	6146584	2367458	CH	LY	Stage2	F
CHLY2F493671	6155130	2294536	CH	LY	Stage2	F
CHLY2F493875	6015788	2408230	CH	LY	Stage2	F
CHLY2F494079	6024420	2405894	CH	LY	Stage2	F
CHLY2F494487	6068752	2360817	CH	LY	Stage2	F
CHLY2M386529	6237174	2256392	CH	LY	Stage2	M
CHLY2M385713	5910520	2439919	CH	LY	Stage2	M
CHLY2M385509	5584857	2512118	CH	LY	Stage2	M
CHLY2M387549	6093470	2327790	CH	LY	Stage2	M
CHLY2M387345	5848071	2452251	CH	LY	Stage2	M
CHLY2M386121	5984431	2416386	CH	LY	Stage2	M
CHLY2F489895	6055789	2361417	CH	LY	Stage2	F
CHLY2F490815	5985447	2419075	CH	LY	Stage2	F
CHLY2F491427	5842232	2483029	CH	LY	Stage2	F
CHLY2F491835	5654378	2423972	CH	LY	Stage2	F
CHLY2M385917	5418923	2604916	CH	LY	Stage2	M
CHLY2M385101	5908044	2380259	CH	LY	Stage2	M
CHLY2M387957	5733096	2461760	CH	LY	Stage2	M
CHLY2M387753	6103700	2282931	CH	LY	Stage2	M
CHLY2M388365	5905678	2556300	CH	LY	Stage2	M
CHLY2M388569	5932945	2415718	CH	LY	Stage2	M
CHLY2M388161	6244675	2231472	CH	LY	Stage2	M
CHLY2M388977	6111423	2367911	CH	LY	Stage2	M
CHLY2M489793	6033004	2356763	CH	LY	Stage2	M
CHLY2M489997	5912358	2467645	CH	LY	Stage2	M
CHLY2M490101	6270488	2257458	CH	LY	Stage2	M
CHLY2M490917	6196898	2269777	CH	LY	Stage2	M
CHYL1F175815	5712651	2401845	CH	YL	Stage1	F
CHLY2M492345	6168964	2398589	CH	LY	Stage2	M
CHLY2M491937	6158483	2292264	CH	LY	Stage2	M
CHLY2M491325	5878902	2458985	CH	LY	Stage2	M
CHLY2M490509	6070209	2449574	CH	LY	Stage2	M
CHLY2M491733	5951953	2408551	CH	LY	Stage2	M
CHLY2M492141	6047974	2382193	CH	LY	Stage2	M
CHLY2M493365	5837950	2522708	CH	LY	Stage2	M
CHYL1F178467	5973168	2398459	CH	YL	Stage1	F
CHYL1F179283	5832565	2345858	CH	YL	Stage1	F
CHYL1F179691	5604828	2462032	CH	YL	Stage1	F
CHYL1F282855	5884188	2497761	CH	YL	Stage1	F
CHYL1F176019	5693359	2444514	CH	YL	Stage1	F
