SampleName	HET	HOM	Farm	Strain	Stage	Sex
CHLY1F179079	6203494	2886722	CH	LY	Stage1	F
CHLY1M178977	6382293	2803363	CH	LY	Stage1	M
CHLY1M179181	6292260	2715478	CH	LY	Stage1	M
CHLY1F177243	6372098	2768781	CH	LY	Stage1	F
CHLY1F280099	6297394	2839692	CH	LY	Stage1	F
CHLY1M280509	6251558	2796643	CH	LY	Stage1	M
CHLY1F176223	6193285	2857660	CH	LY	Stage1	F
CHLY1F175203	6179315	2806612	CH	LY	Stage1	F
CHLY1F179487	6335895	2854639	CH	LY	Stage1	F
CHLY1F178875	6068398	2865993	CH	LY	Stage1	F
CHLY1F281835	6249046	2735780	CH	LY	Stage1	F
CHLY1M178773	6242103	2874665	CH	LY	Stage1	M
CHLY1F282447	5957614	2953057	CH	LY	Stage1	F
CHLY1F281631	6225742	2776448	CH	LY	Stage1	F
CHLY1F178059	6320188	2804860	CH	LY	Stage1	F
CHLY1M179997	6149834	2833409	CH	LY	Stage1	M
CHLY1F179895	6313235	2874330	CH	LY	Stage1	F
CHLY1F177039	6232427	2893420	CH	LY	Stage1	F
CHLY1M178569	6424554	2852528	CH	LY	Stage1	M
CHLY1F281019	6243979	2789768	CH	LY	Stage1	F
CHLY1M179385	6379864	2806775	CH	LY	Stage1	M
CHLY1F282243	6171640	2947734	CH	LY	Stage1	F
CHLY1F280407	6267683	2834616	CH	LY	Stage1	F
CHLY1M175305	6361230	2888251	CH	LY	Stage1	M
CHLY1M280101	6296959	2771681	CH	LY	Stage1	M
CHLY1F280203	6123847	2885942	CH	LY	Stage1	F
CHLY1F178263	6421896	2750406	CH	LY	Stage1	F
CHLY1M175713	6318548	2673816	CH	LY	Stage1	M
CHLY1M177957	6212207	2851083	CH	LY	Stage1	M
CHLY1F281223	6344676	2841995	CH	LY	Stage1	F
CHLY1F282651	6191742	2788393	CH	LY	Stage1	F
CHLY1M280917	6166485	2786792	CH	LY	Stage1	M
CHLY1M177549	6245987	2797519	CH	LY	Stage1	M
CHLY1M176529	6419234	2710112	CH	LY	Stage1	M
CHLY1F176835	6303865	2826509	CH	LY	Stage1	F
CHLY1F175407	6336816	2789266	CH	LY	Stage1	F
CHLY1F175611	6279538	2881093	CH	LY	Stage1	F
CHLY1M179589	6523064	2641243	CH	LY	Stage1	M
CHLY1F176427	6226036	2734306	CH	LY	Stage1	F
CHLY1F282039	6235134	2739074	CH	LY	Stage1	F
CHLY1M281121	6410450	2772939	CH	LY	Stage1	M
CHLY1M179793	5772550	3085507	CH	LY	Stage1	M
CHLY1F178671	6195993	2833662	CH	LY	Stage1	F
CHLY1M177753	6138008	2806927	CH	LY	Stage1	M
CHLY1M176733	6170008	2869994	CH	LY	Stage1	M
CHLY1M175917	6353347	2890041	CH	LY	Stage1	M
CHLY1M175509	6319565	2799468	CH	LY	Stage1	M
CHLY1M177345	6171461	2762335	CH	LY	Stage1	M
CHLY1M178365	6249559	2900741	CH	LY	Stage1	M
CHLY1F280611	6372278	2774431	CH	LY	Stage1	F
CHLY2F386223	6208925	2770576	CH	LY	Stage2	F
CHLY2F388671	5816968	3001147	CH	LY	Stage2	F
CHLY1M281937	6366408	2820083	CH	LY	Stage1	M
CHLY2F388467	6356515	2741970	CH	LY	Stage2	F
CHLY2F386427	6198281	2794308	CH	LY	Stage2	F
CHLY1M283365	6226742	2848822	CH	LY	Stage1	M
CHLY2F490407	6482598	2829970	CH	LY	Stage2	F
CHLY2F492651	6183973	2814157	CH	LY	Stage2	F
CHLY2F492039	6275253	2836570	CH	LY	Stage2	F
CHLY2F493671	6409652	2724268	CH	LY	Stage2	F
CHLY2F388059	6268542	2746326	CH	LY	Stage2	F
CHLY2F386835	6094251	2849650	CH	LY	Stage2	F
CHLY2F489487	6169283	2823060	CH	LY	Stage2	F
CHLY2F489895	6307908	2782824	CH	LY	Stage2	F
CHLY1M282549	6183889	2941814	CH	LY	Stage1	M
CHLY2M385509	5857812	2936885	CH	LY	Stage2	M
CHLY1M282345	6210557	2834432	CH	LY	Stage1	M
CHLY2F389079	6168735	2863585	CH	LY	Stage2	F
CHLY1M282141	6171331	2903520	CH	LY	Stage1	M
